id,name,area,address,lat,lng,tags
tokyo_027,大輝家,蒲田,東京都大田区西蒲田7-63-9,35.5612,139.7134,家系|新鋭|濃厚
tokyo_028,裏大輝家,秋葉原,東京都千代田区神田佐久間町1-20,35.6988,139.7732,家系|人気|濃厚
tokyo_029,百麺 中目黒店,中目黒,東京都目黒区青葉台1-28-11,35.6465,139.699,家系|老舗|深夜営業
tokyo_030,百麺 世田谷店,世田谷,東京都世田谷区桜3-18-9,35.6422,139.6478,家系|人気|濃厚
tokyo_031,横浜家系ラーメン 壱六家 大森店,大森,東京都大田区大森北1-3-12,35.5889,139.7281,家系|本格派|人気
tokyo_032,横浜家系ラーメン 希家,錦糸町,東京都墨田区江東橋2-6-10,35.695,139.814,家系|深夜営業|人気
tokyo_033,横浜ラーメン あばん,八王子,東京都八王子市子安町1-8-17,35.6547,139.3433,家系|地元人気|濃厚
tokyo_034,横浜家系ラーメン 赤家,赤羽,東京都北区赤羽1-22-3,35.7788,139.7215,家系|深夜営業|人気
tokyo_035,横浜家系ラーメン 志田家,高円寺,東京都杉並区高円寺南4-7-5,35.7052,139.6499,家系|学生人気|濃厚
tokyo_036,横浜家系ラーメン 作田家,御徒町,東京都台東区上野5-10-14,35.7078,139.7742,家系|駅近|人気
tokyo_037,家系ラーメン 田中,水道橋,東京都千代田区神田三崎町3-1-10,35.7007,139.7528,家系|濃厚|人気
tokyo_038,家系ラーメン 家道,戸越銀座,東京都品川区平塚2-18-10,35.6162,139.7152,家系|地元人気|濃厚
tokyo_039,横浜家系ラーメン 山本家,新宿,東京都新宿区西新宿1-15-13,35.69,139.699,家系|駅近|人気
tokyo_040,家系ラーメン 王道家直系 IEKEI TOKYO,末広町,東京都千代田区外神田5-2-7,35.7041,139.7748,家系|王道家系|行列
tokyo_041,横浜家系ラーメン 侍 渋谷本店,渋谷,東京都渋谷区道玄坂2-6-6,35.6585,139.6991,家系|有名店|濃厚
tokyo_042,横浜家系ラーメン 侍 上野店,上野,東京都台東区東上野2-18-1,35.7114,139.7778,家系|人気|駅近
tokyo_043,町田商店 渋谷店,渋谷,東京都渋谷区宇田川町11-6,35.6611,139.6989,家系|王道|人気
tokyo_044,町田商店 新宿南口店,新宿,東京都新宿区新宿4-1-20,35.6888,139.7044,家系|王道|駅近
tokyo_045,町田商店 池袋西口店,池袋,東京都豊島区西池袋1-39-1,35.7311,139.7099,家系|濃厚|深夜営業
tokyo_046,町田商店 上野店,上野,東京都台東区上野6-16-9,35.7129,139.7775,家系|ライス無料|人気
tokyo_047,町田商店 秋葉原店,秋葉原,東京都千代田区外神田3-15-6,35.7002,139.7718,家系|こってり|駅近
tokyo_048,町田商店 田町店,田町,東京都港区芝5-31-5,35.6456,139.7478,家系|会社員人気|駅近
tokyo_049,町田商店 三鷹店,三鷹,東京都三鷹市下連雀3-46-1,35.7022,139.5607,家系|学生人気|ボリューム
tokyo_050,町田商店 八王子店,八王子,東京都八王子市旭町7-9,35.6552,139.3391,家系|人気|深夜営業
tokyo_051,横浜家系ラーメン 壱角家 新宿西口店,新宿,東京都新宿区西新宿1-15-3,35.6901,139.6994,家系|深夜営業|駅近
tokyo_052,横浜家系ラーメン 壱角家 渋谷センター街店,渋谷,東京都渋谷区宇田川町25-5,35.6597,139.6993,家系|人気|駅近
tokyo_053,横浜家系ラーメン 壱角家 秋葉原店,秋葉原,東京都千代田区外神田1-9-8,35.6985,139.7712,家系|濃厚|駅近
tokyo_054,横浜家系ラーメン 壱角家 池袋東口店,池袋,東京都豊島区東池袋1-13-10,35.7308,139.7151,家系|ライス無料|人気
tokyo_055,横浜家系ラーメン 壱角家 吉祥寺店,吉祥寺,東京都武蔵野市吉祥寺本町1-8-3,35.7034,139.5794,家系|学生人気|駅近
tokyo_056,横浜家系ラーメン 壱角家 上野店,上野,東京都台東区上野6-14-7,35.7126,139.7772,家系|濃厚|観光地
tokyo_057,横浜家系ラーメン 壱角家 神田店,神田,東京都千代田区鍛冶町2-12-11,35.6918,139.7708,家系|駅近|人気
tokyo_058,横浜家系ラーメン 壱角家 赤羽店,赤羽,東京都北区赤羽1-2-6,35.7783,139.7201,家系|深夜営業|人気
tokyo_059,横浜家系ラーメン 壱角家 立川北口店,立川,東京都立川市曙町2-7-5,35.6997,139.4136,家系|ボリューム|駅近
tokyo_060,横浜家系ラーメン 壱角家 蒲田店,蒲田,東京都大田区西蒲田7-5-12,35.5623,139.7161,家系|深夜営業|濃厚
tokyo_001,横浜家系ラーメン IEKEI TOKYO,秋葉原,東京都千代田区外神田5-2-7,35.7046,139.7745,濃厚豚骨醤油|人気店|行列
tokyo_002,輝道家,野方,東京都中野区野方5-24-6,35.7194,139.6527,濃厚スープ|酒井製麺|人気
tokyo_003,家系ラーメン 王道乃印 新橋店,新橋,東京都港区新橋1-16-8,35.6662,139.7588,王道家系|チャーシュー人気|深夜営業
tokyo_004,横浜家系ラーメン 池袋商店,池袋,東京都豊島区池袋2-13-3,35.731,139.708,駅近|深夜営業|濃厚
tokyo_005,横浜家系侍 渋谷本店,渋谷,東京都渋谷区道玄坂2-6-6,35.6581,139.6995,クリーミー豚骨|人気店|渋谷
tokyo_006,二代目武道家,中野,東京都中野区中野3-34-32,35.7058,139.6659,超濃厚|ライス無料系|有名店
tokyo_007,田中,水道橋,東京都千代田区神田三崎町3-1-10,35.7007,139.7536,濃厚家系|駅近|学生人気
tokyo_008,壱角家 渋谷センター街店,渋谷,東京都渋谷区宇田川町21-7,35.6605,139.6992,24時間営業|チェーン人気|駅近
tokyo_009,壱角家 新宿歌舞伎町一番街店,新宿,東京都新宿区歌舞伎町1-21-12,35.6947,139.7025,24時間営業|観光客人気|深夜営業
tokyo_010,武道家 賢斗,南砂町,東京都江東区南砂2-1-4,35.6698,139.8302,濃厚スープ|中毒性|人気
tokyo_011,家家家 錦糸町店,錦糸町,東京都墨田区江東橋2-16-10,35.6968,139.8141,老舗家系|深夜営業|駅近
tokyo_012,横浜らーめん 山本家,新宿,東京都新宿区西新宿1-15-13,35.6889,139.6985,王道家系|新宿人気|ライス相性
tokyo_013,町田商店 水道橋店,水道橋,東京都千代田区神田三崎町2-22-18,35.702,139.7544,チェーン人気|完まく推奨|濃厚
tokyo_014,壱角家 秋葉原東口店,秋葉原,東京都千代田区神田佐久間町1-27,35.6986,139.7731,駅近|深夜営業|チェーン
tokyo_015,壱角家 新宿アルタ裏店,新宿,東京都新宿区新宿3-24-8,35.6939,139.7037,24時間営業|観光客人気|駅近
tokyo_016,一刀家,赤坂,東京都港区赤坂3-14-2,35.6733,139.737,赤坂人気|濃厚豚骨|ランチ人気
tokyo_017,家道,戸越銀座,東京都品川区平塚2-18-10,35.6157,139.7162,地元人気|濃厚醤油|隠れ名店
tokyo_018,武蔵家 中野本店,中野,東京都中野区中野5-50-9,35.7097,139.665,老舗家系|ライス無料|超人気
tokyo_019,皇綱家,池袋,東京都豊島区西池袋1-38-5,35.7317,139.7109,濃厚直系風|池袋人気|行列
tokyo_020,らすた 池袋店,池袋,東京都豊島区西池袋3-31-13,35.7295,139.7074,マイルド系|学生人気|老舗
tokyo_021,らーめん飛粋,蒲田,東京都大田区蒲田5-2-5,35.5612,139.716,超人気|行列店|濃厚豚骨
tokyo_022,環2家 蒲田店,蒲田,東京都大田区西蒲田7-1-10,35.5629,139.7148,直系系統|酒井製麺|人気
tokyo_023,五丁目ハウス,早稲田,東京都新宿区西早稲田3-14-1,35.7091,139.7134,学生人気|濃厚家系|ライス無料
tokyo_024,壱蔵家,上野,東京都台東区上野6-16-9,35.7124,139.7771,駅近|深夜営業|濃厚
tokyo_025,巣鴨家,巣鴨,東京都豊島区巣鴨1-17-6,35.7335,139.7392,濃厚スープ|駅近|人気
tokyo_026,武源家,大井町,東京都品川区東大井5-4-10,35.6061,139.7345,王道系|行列|濃厚
tokyo_027,神田ラーメン わいず,神田,東京都千代田区内神田3-9-6,35.6914,139.7708,超濃厚|人気店|中毒性
tokyo_028,まこと家,青物横丁,東京都品川区南品川3-1-10,35.6094,139.7421,老舗|直系インスパイア|人気
tokyo_029,武蔵境つばさ家,武蔵境,東京都武蔵野市境2-2-26,35.7025,139.543,武蔵家系|学生人気|濃厚
tokyo_030,洞くつ家,吉祥寺,東京都武蔵野市吉祥寺本町1-7-1,35.7033,139.5796,老舗家系|吉祥寺人気|深夜営業
tokyo_031,大輝家,蒲田,東京都大田区西蒲田7-20-2,35.5634,139.7133,濃厚豚骨|人気急上昇|駅近
tokyo_032,横浜ラーメン おか本,町田,東京都町田市原町田6-20-3,35.5437,139.4469,濃厚醤油|人気|行列
tokyo_033,麺家 龍,新小岩,東京都葛飾区新小岩1-50-12,35.716,139.8583,地元人気|濃厚系|駅近
tokyo_034,横浜家系ラーメン 三浦商店,新橋,東京都港区新橋2-20-15,35.6665,139.758,駅地下|新橋人気|濃厚
tokyo_035,横浜家系ラーメン 革新家TOKYO,東京駅,東京都千代田区丸の内1-9-1,35.6812,139.7671,駅ナカ|朝営業|濃厚
tokyo_036,横浜家系ラーメン みどり,西新宿,東京都新宿区西新宿7-4-6,35.6959,139.7001,濃厚スープ|人気|駅近
tokyo_037,侍 池尻店,池尻大橋,東京都世田谷区池尻4-12-14,35.6507,139.6845,濃厚家系|人気店|隠れ名店
tokyo_038,町田商店 東京ラーメン横丁店,八重洲,東京都中央区八重洲2-10-1,35.6799,139.7673,東京駅近|チェーン人気|観光客人気
tokyo_039,横浜家系ラーメン 介一家,高円寺,東京都杉並区高円寺南4-7-1,35.7058,139.6496,濃厚系|地元人気|駅近
tokyo_040,横浜家系ラーメン 大塚家,大塚,東京都豊島区北大塚2-13-4,35.7318,139.7289,駅近|深夜営業|人気
tokyo_041,横浜家系ラーメン 町田家 町田本店,町田,東京都町田市森野1-34-13,35.5463,139.4467,老舗家系|学生人気|濃厚
tokyo_042,武蔵家 国領店,国領,東京都調布市国領町4-8-1,35.6504,139.5541,武蔵家系|ライス無料|地元人気
tokyo_043,横浜家系ラーメン 大和家 国分寺店,国分寺,東京都国分寺市本町2-2-10,35.7008,139.4805,駅近|濃厚豚骨|人気
tokyo_044,横浜家系ラーメン 壱七家,八王子,東京都八王子市東町13-12,35.6574,139.3388,深夜営業|駅近|濃厚
tokyo_045,横浜ラーメン 武蔵家 吉祥寺店,吉祥寺,東京都武蔵野市吉祥寺南町1-8-11,35.7019,139.5783,老舗家系|学生人気|行列
tokyo_046,横浜家系ラーメン 壱角家 立川北口店,立川,東京都立川市曙町2-11-7,35.6991,139.4134,チェーン人気|駅近|深夜営業
tokyo_047,横浜家系ラーメン 大輝家直系 青物横丁店,青物横丁,東京都品川区南品川2-7-13,35.6098,139.7429,濃厚スープ|直系風|人気
tokyo_048,横浜家系ラーメン 春樹 下北沢店,下北沢,東京都世田谷区北沢2-12-15,35.6618,139.6687,駅近|学生人気|濃厚
tokyo_049,横浜家系ラーメン 魂心家 多摩センター店,多摩センター,東京都多摩市落合1-9-6,35.6246,139.4248,まくり証明書|チェーン人気|駅近
tokyo_050,横浜家系ラーメン 町田商店 成瀬店,成瀬,東京都町田市南成瀬5-1-7,35.5356,139.4727,駐車場あり|ファミリー人気|濃厚
tokyo_051,横浜家系ラーメン 壱角家 府中店,府中,東京都府中市宮町1-100,35.6687,139.4775,駅近|チェーン人気|深夜営業
tokyo_052,横浜家系ラーメン 壱発家 八王子本店,八王子,東京都八王子市万町19-1,35.652,139.3345,ネギ人気|ボリューム系|地元人気
tokyo_053,横浜家系ラーメン 大和家 秋津店,秋津,東京都東村山市秋津町5-13-38,35.7788,139.4955,学生人気|濃厚|駅近
tokyo_054,横浜家系ラーメン 代々木商店,代々木,東京都渋谷区代々木1-38-10,35.683,139.7023,駅近|深夜営業|人気
tokyo_055,横浜家系ラーメン 壱角家 蒲田店,蒲田,東京都大田区西蒲田7-5-12,35.5623,139.7141,24時間営業|駅近|濃厚
tokyo_056,横浜家系ラーメン 壱六家 大森店,大森,東京都大田区山王2-2-7,35.5889,139.7282,直系インスパイア|人気店|駅近
tokyo_057,横浜家系ラーメン 武虎家,御徒町,東京都台東区上野5-10-14,35.7078,139.774,濃厚家系|ライス無料|人気
tokyo_058,横浜家系ラーメン 志田家,京急蒲田,東京都大田区蒲田4-15-8,35.5601,139.7235,蒲田人気|濃厚豚骨|深夜営業
tokyo_059,横浜家系ラーメン 赤家,赤羽,東京都北区赤羽1-2-4,35.7784,139.7202,駅近|濃厚|学生人気
tokyo_060,横浜家系ラーメン たかさご家,平井,東京都江戸川区平井5-21-7,35.7067,139.8429,地元人気|老舗系|濃厚
tokyo_061,横浜家系ラーメン 壱角家 高田馬場店,高田馬場,東京都新宿区高田馬場2-19-7,35.7126,139.7038,学生人気|駅近|深夜営業
tokyo_062,横浜家系ラーメン 町田商店 渋谷店,渋谷,東京都渋谷区宇田川町11-6,35.6611,139.6984,チェーン人気|観光客人気|濃厚
tokyo_063,横浜家系ラーメン 壱角家 池袋東口店,池袋,東京都豊島区南池袋1-27-8,35.7289,139.713,駅近|24時間営業|人気
tokyo_064,横浜家系ラーメン 武将家 外伝,秋葉原,東京都千代田区外神田3-11-6,35.7018,139.7715,濃厚スープ|ライス無料|人気店
tokyo_065,横浜家系ラーメン 壱角家 神田店,神田,東京都千代田区鍛冶町2-12-11,35.6918,139.7712,駅近|深夜営業|チェーン
tokyo_066,横浜家系ラーメン 品田家,西葛西,東京都江戸川区西葛西6-14-12,35.6635,139.859,地元人気|濃厚豚骨|駅近
tokyo_067,横浜家系ラーメン せい家 三軒茶屋店,三軒茶屋,東京都世田谷区太子堂4-22-12,35.6438,139.6697,コスパ人気|学生人気|深夜営業
tokyo_068,横浜家系ラーメン 壱角家 飯田橋店,飯田橋,東京都千代田区飯田橋4-9-8,35.7024,139.7449,駅近|チェーン人気|濃厚
tokyo_069,横浜家系ラーメン 壱角家 綾瀬店,綾瀬,東京都足立区綾瀬3-1-24,35.7623,139.8245,駅近|深夜営業|人気
tokyo_070,横浜家系ラーメン 武道家 口,明大前,東京都世田谷区松原2-46-6,35.6684,139.6501,濃厚家系|学生人気|行列
tokyo_071,横浜家系ラーメン 壱角家 門前仲町店,門前仲町,東京都江東区門前仲町2-6-5,35.6717,139.7968,駅近|深夜営業|人気
tokyo_072,横浜家系ラーメン 壱角家 赤坂見附店,赤坂見附,東京都港区赤坂3-10-6,35.676,139.7365,ビジネスマン人気|駅近|濃厚
tokyo_073,横浜家系ラーメン 町田商店 田町店,田町,東京都港区芝5-31-7,35.6458,139.7475,オフィス街人気|駅近|濃厚
tokyo_074,横浜家系ラーメン 壱角家 人形町店,人形町,東京都中央区日本橋人形町2-6-1,35.686,139.7822,駅近|ランチ人気|チェーン
tokyo_075,横浜家系ラーメン 武蔵家 大井町店,大井町,東京都品川区東大井5-4-8,35.6064,139.7348,ライス無料|濃厚|人気
tokyo_076,横浜家系ラーメン せい家 下北沢店,下北沢,東京都世田谷区北沢2-12-7,35.6614,139.6682,コスパ人気|学生人気|駅近
tokyo_077,横浜家系ラーメン 壱角家 五反田店,五反田,東京都品川区東五反田1-13-6,35.6268,139.7239,駅近|深夜営業|人気
tokyo_078,横浜家系ラーメン 春樹 中野店,中野,東京都中野区中野5-63-4,35.7084,139.6657,濃厚豚骨|学生人気|駅近
tokyo_079,横浜家系ラーメン 武虎家 綾瀬店,綾瀬,東京都足立区綾瀬2-24-8,35.7631,139.824,濃厚系|ライス無料|地元人気
tokyo_080,横浜家系ラーメン 壱角家 西船橋店,西船橋,東京都江戸川区西葛西寄りエリア,35.7075,139.959,駅近|チェーン人気|深夜営業
tokyo_081,横浜家系ラーメン 近江家,大塚,東京都豊島区南大塚3-53-5,35.7312,139.7281,濃厚豚骨|駅近|地元人気
tokyo_082,横浜家系ラーメン 檜家町田店,町田,東京都町田市原町田6-18-17,35.5432,139.4475,濃厚醤油|学生人気|駅近
tokyo_083,横浜家系ラーメン 壱心家,亀有,東京都葛飾区亀有5-34-14,35.7668,139.8487,地元人気|濃厚|深夜営業
tokyo_084,横浜家系ラーメン 魂心家 池袋店,池袋,東京都豊島区東池袋1-7-10,35.7305,139.714,まくり証明書|チェーン人気|駅近
tokyo_085,横浜家系ラーメン 希家,阿佐ヶ谷,東京都杉並区阿佐谷南2-17-5,35.7049,139.6357,濃厚スープ|地元人気|駅近
tokyo_086,横浜家系ラーメン 壱蔵家 東陽町店,東陽町,東京都江東区東陽4-6-19,35.6692,139.8175,駅近|ランチ人気|濃厚
tokyo_087,横浜家系ラーメン 太田家,高円寺,東京都杉並区高円寺北2-11-8,35.7065,139.6505,濃厚家系|学生人気|地元系
tokyo_088,横浜家系ラーメン たつ家,錦糸町,東京都墨田区江東橋3-9-1,35.6963,139.8137,駅近|深夜営業|人気
tokyo_089,横浜家系ラーメン 壱八家,新小岩,東京都葛飾区新小岩1-43-10,35.7168,139.8576,濃厚豚骨|駅近|学生人気
tokyo_090,横浜家系ラーメン 大和魂,府中,東京都府中市宮西町2-8-4,35.6672,139.4779,地元人気|濃厚|ランチ人気
tokyo_101,横濱家系ラーメン 四代目野中家,池袋西口,東京都豊島区西池袋1-30-8,35.7309,139.7094,濃厚豚骨|深夜営業|新店人気
tokyo_102,NONAKAYA,東池袋,東京都豊島区東池袋1-27-7,35.7315,139.7145,朝ラー|濃厚家系|人気
tokyo_103,池袋商店2号店,東池袋,東京都豊島区東池袋1-7-10,35.7308,139.7136,駅近|深夜営業|チェーン人気
tokyo_104,武蔵家 池袋店,西池袋,東京都豊島区西池袋3-23-8,35.7297,139.7081,ライス無料|濃厚|老舗系
tokyo_105,壱角堂 池袋西口店,西池袋,東京都豊島区西池袋1-20-4,35.7302,139.7084,24時間営業|駅近|濃厚
tokyo_106,壱角家 サンシャインアルタ店,東池袋,東京都豊島区東池袋3-1-3,35.7299,139.719,サンシャイン近く|チェーン人気|駅近
tokyo_107,壱角家 池袋西口店,西池袋,東京都豊島区西池袋1-26-5,35.7311,139.7089,深夜営業|チェーン|駅近
tokyo_108,池袋ラーメン 梟,東池袋,東京都豊島区東池袋1-38-1,35.7324,139.7158,わいず系|新店|濃厚豚骨
tokyo_109,皇綱家,西池袋,東京都豊島区西池袋1-18-1,35.7305,139.7107,直系風|行列|人気店
tokyo_110,壱角家 池袋東口店,東池袋,東京都豊島区東池袋1-13-12,35.73,139.7131,駅近|深夜営業|チェーン人気
